index,value
13548,204.3749972249285
13549,204.36480330749384
13550,204.35876461907725
13551,204.3488674204835
13552,204.33360699924967
13553,204.3076813286338
13554,204.282077062371
13555,204.2629223871936
13556,204.24006533310063
13557,204.2168209708
13558,204.2125310547636
13559,204.203771026533
13560,204.1988258911121
13561,204.2004000977041
13562,204.2004530101025
13563,204.1929684943713
13564,204.192013884452
13565,204.19260486012928
13566,204.18266594421524
13567,204.18097059751892
13568,204.1891858565584
13569,204.18614210268152
13570,204.18899511323056
13571,204.19094691126065
13572,204.2009526945049
13573,204.222216835688
13574,204.22764792589376
13575,204.22134949679997
13576,204.2202429572398
13577,204.21831487558384
13578,204.2050731019532
13579,204.20676723326997
13580,204.20713866126857
13581,204.20131987218195
13582,204.20686603676964
13583,204.2172478581227
13584,204.2206422946118
13585,204.22495825545917
13586,204.23606868448223
13587,204.24739667598843
13588,204.24218616498567
13589,204.2372000936063
13590,204.2191901651765
13591,204.21684974126643
13592,204.21451057562044
13593,204.2122628965876
13594,204.21278386787316
13595,204.1926982916596
13596,204.17671476938955
13597,204.1650013214681
13598,204.1577300763936
13599,204.1460690674549
13600,204.132769578896
13601,204.1281357558273
13602,204.11257127826445
13603,204.091132081204
13604,204.0681688944889
13605,204.0493226281701
13606,204.0398842995352
13607,204.0185443026986
13608,204.04502554490531
13609,204.114705045767
13610,204.20504399487095
13611,204.2852188545324
13612,204.367822381608
13613,204.43955634506008
13614,204.5153948669227
13615,204.58434384455336
13616,204.6449244328612
13617,204.69561355085116
13618,204.74968959569964
13619,204.78380170208365
13620,204.83167767128853
13621,204.87059922850213
13622,204.9240220578453
13623,204.9641219364873
23990,204.9750262422796
23991,204.9481039173567
23992,204.91606505305484
23993,204.88874621061856
23994,204.86564562649252
23995,204.84454962190907
23996,204.83464666478227
23997,204.82616006587983
23998,204.81031157838885
23999,204.80154593104825
24000,204.79050696319
24001,204.77447336823687
24002,204.76328725072145
24003,204.74575396100545
24004,204.7361621361088
24005,204.7310211790237
24006,204.72298671098304
24007,204.73106762352745
24008,204.74455273039132
24009,204.75106280081573
24010,204.75534077129697
24011,204.74778504504255
24012,204.75585978409643
24013,204.76287700064805
24014,204.77469964829348
24015,204.78625390112063
24016,204.7852748440581
24017,204.783962079108
24018,204.77098030071127
24019,204.76193237370677
24020,204.7623578022092
24021,204.76465315563055
24022,204.759219886824
24023,204.74724170241532
24024,204.7375070761342
24025,204.71143822017083
24026,204.66961515714647
24027,204.64284258556765
24028,204.6186433407368
24029,204.59090807596263
24030,204.5747872915308
24031,204.56820438387768
24032,204.56079608587189
24033,204.55516538239328
24034,204.55110753443824
24035,204.55077735658628
24036,204.53714766668423
24037,204.53495797391335
24038,204.5317812429965
24039,204.5344742889166
24040,204.53172037368415
24041,204.52798453201385
24042,204.51750464375945
24043,204.507733818918
24044,204.49779400161157
24045,204.49496788131023
24046,204.47627416750143
24047,204.45663711812924
24048,204.43333760595576
24049,204.4178944650484
24050,204.4052509599316
24051,204.38048183528977
24052,204.372246268151
24053,204.35381157894156
24054,204.34124224527528
24055,204.3098776379744
24056,204.2823872068001
24057,204.2553291393155
24058,204.2431701318777
24059,204.2391775022181
24060,204.2370211201668
24061,204.24078057165264
24062,204.2570729064577
24063,204.2526350782069
24064,204.24214427859607
24065,204.2241921156176
24066,204.2060019004871
24067,204.19976404479917
24068,204.19522999952224
24069,204.200853665702
24070,204.20587273668448
24071,204.20954031400225
24072,204.2114066629113
24073,204.205193560368
24074,204.20009520256943
24075,204.19628232757051
24076,204.18903968777025
24077,204.18938084644097
24078,204.1855621929556
24079,204.1759701118252
24080,204.17691106936823
24081,204.1726494755873
24082,204.18117354670244
24083,204.18942606601848
24084,204.18366680976624
24085,204.18015052246983
24086,204.16219505246707
24087,204.12956816891835
24088,204.1039767629661
24089,204.0767664995908
24090,204.05547374690207
24091,204.03417143060943
24092,204.03686166928415
24093,204.03869000139807
24094,204.03196071376848
24095,204.0271528569587
24096,204.0028567995525
24097,203.9840856138596
24098,203.97084475105063
24099,203.96002059435335
24100,203.9706186046117
24101,203.97221171404613
24102,203.962705246328
24103,203.96106781707093
24104,203.9622173951278
24105,203.97625812121728
24106,203.9908111706686
24107,204.0031183316886
24108,203.9912833786406
24109,203.9846414519975
24110,203.984226176234
24111,203.9823919971035
