mdl,rt,recall,FAR,lead_min,n_pos,n_neg
LSTMGRU,r0p25,0.8882205513784461,0.02279728897104128,3.870967741935484,1995,1623
STAConvBiLSTM,r0p25,0.9443609022556391,0.02341343191620456,7.209677419354839,1995,1623
TCNTransformer,r0p25,0.9408521303258145,0.027726432532347505,7.209677419354839,1995,1623
raw,r0p5,0.9659147869674185,0.03450400492914356,9.048387096774194,1995,1623
diff,r0p5,0.9573934837092731,0.02895871842267406,8.419354838709678,1995,1623
diff2,r0p5,0.9639097744360903,0.0948860135551448,9.048387096774194,1995,1623
union,r0p5,0.9704260651629073,0.1004313000616143,9.483870967741936,1995,1623
Time-MoE,r0p5,0.9283208020050125,0.019100431300061615,6.387096774193548,1995,1623
Sundial,r0p5,0.9233082706766917,0.019100431300061615,5.758064516129032,1995,1623
CNNLSTM,r0p5,0.8852130325814537,0.025261860751694395,3.532258064516129,1995,1623
DiPCALSTM,r0p5,0.8922305764411027,0.030807147258163893,3.967741935483871,1995,1623
LSTMGRU,r0p5,0.8847117794486216,0.024029574861367836,3.629032258064516,1995,1623
STAConvBiLSTM,r0p5,0.9458646616541353,0.027726432532347505,7.451612903225806,1995,1623
TCNTransformer,r0p5,0.9408521303258145,0.027726432532347505,7.306451612903226,1995,1623
raw,r1p0,0.9674185463659147,0.033271719038817,9.14516129032258,1995,1623
diff,r1p0,0.9588972431077695,0.03265557609365373,8.70967741935484,1995,1623
diff2,r1p0,0.9694235588972431,0.07948243992606285,9.629032258064516,1995,1623
union,r1p0,0.9759398496240601,0.09242144177449169,9.919354838709678,1995,1623
Time-MoE,r1p0,0.9283208020050125,0.019100431300061615,6.387096774193548,1995,1623
Sundial,r1p0,0.9233082706766917,0.019100431300061615,5.758064516129032,1995,1623
CNNLSTM,r1p0,0.8857142857142857,0.027110289587184228,3.967741935483871,1995,1623
DiPCALSTM,r1p0,0.8882205513784461,0.027110289587184228,3.67741935483871,1995,1623
LSTMGRU,r1p0,0.8872180451127819,0.02341343191620456,3.870967741935484,1995,1623
STAConvBiLSTM,r1p0,0.9463659147869674,0.02341343191620456,7.935483870967742,1995,1623
TCNTransformer,r1p0,0.9358395989974937,0.04990757855822551,7.209677419354839,1995,1623
