mdl,rt,C,recall,FAR,lead_min,n_events_anticipated
raw,r0p05,10,0.6039603960396039,0.015272727272727273,8.464285714285715,28
raw,r0p05,15,0.5263157894736842,0.012269938650306749,8.0,18
raw,r0p05,20,0.46296296296296297,0.009523809523809525,7.615384615384615,13
raw,r0p05,25,0.47619047619047616,0.006514657980456026,7.800000000000001,10
raw,r0p05,30,0.475,0.005008347245409015,8.333333333333332,9
diff,r0p05,10,0.6039603960396039,0.03345454545454545,8.785714285714285,28
diff,r0p05,15,0.6052631578947368,0.03144171779141104,9.666666666666668,18
diff,r0p05,20,0.5925925925925926,0.02619047619047619,9.923076923076923,13
diff,r0p05,25,0.5952380952380952,0.02280130293159609,10.2,10
diff,r0p05,30,0.6,0.021702838063439065,11.0,9
diff2,r0p05,10,0.693069306930693,0.12581818181818183,10.178571428571429,28
diff2,r0p05,15,0.6710526315789473,0.12653374233128833,10.833333333333334,18
diff2,r0p05,20,0.6481481481481481,0.12301587301587301,10.846153846153847,13
diff2,r0p05,25,0.6666666666666666,0.12214983713355049,11.399999999999999,10
diff2,r0p05,30,0.675,0.12103505843071787,12.333333333333332,9
union,r0p05,10,0.7326732673267327,0.13163636363636363,10.178571428571429,28
union,r0p05,15,0.7236842105263158,0.13190184049079753,10.833333333333334,18
union,r0p05,20,0.7037037037037037,0.12698412698412698,10.846153846153847,13
union,r0p05,25,0.7380952380952381,0.1254071661237785,11.399999999999999,10
union,r0p05,30,0.75,0.12437395659432388,12.333333333333332,9
Time-MoE,r0p05,10,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Time-MoE,r0p05,15,0.3815789473684211,0.006901840490797546,7.153846153846153,13
Time-MoE,r0p05,20,0.3333333333333333,0.0031746031746031746,7.5,8
Time-MoE,r0p05,25,0.30952380952380953,0.0024429967426710096,7.800000000000001,5
Time-MoE,r0p05,30,0.3,0.001669449081803005,9.0,4
Sundial,r0p05,10,0.33663366336633666,0.004363636363636364,7.764705882352942,17
Sundial,r0p05,15,0.3157894736842105,0.0023006134969325155,7.5,10
Sundial,r0p05,20,0.24074074074074073,0.0015873015873015873,8.399999999999999,5
Sundial,r0p05,25,0.21428571428571427,0.0016286644951140066,10.0,3
Sundial,r0p05,30,0.225,0.0008347245409015025,10.0,3
CNNLSTM,r0p05,10,0.0594059405940594,0.0,5.25,4
CNNLSTM,r0p05,15,0.05263157894736842,0.0,7.5,2
CNNLSTM,r0p05,20,0.07407407407407407,0.0,7.5,2
CNNLSTM,r0p05,25,0.09523809523809523,0.0,7.5,2
CNNLSTM,r0p05,30,0.1,0.0,7.5,2
DiPCALSTM,r0p05,10,0.07920792079207921,0.0007272727272727272,4.5,6
DiPCALSTM,r0p05,15,0.07894736842105263,0.0007668711656441718,5.25,4
DiPCALSTM,r0p05,20,0.09259259259259259,0.0007936507936507937,6.0,3
DiPCALSTM,r0p05,25,0.11904761904761904,0.0008143322475570033,6.0,3
DiPCALSTM,r0p05,30,0.125,0.0008347245409015025,6.0,3
LSTMGRU,r0p05,10,0.009900990099009901,0.0,3.0,1
LSTMGRU,r0p05,15,0.0,0.0,,0
LSTMGRU,r0p05,20,0.0,0.0,,0
LSTMGRU,r0p05,25,0.0,0.0,,0
LSTMGRU,r0p05,30,0.0,0.0,,0
STAConvBiLSTM,r0p05,10,0.36633663366336633,0.02909090909090909,8.333333333333332,18
STAConvBiLSTM,r0p05,15,0.27631578947368424,0.029141104294478526,7.800000000000001,10
STAConvBiLSTM,r0p05,20,0.25925925925925924,0.03015873015873016,8.142857142857142,7
STAConvBiLSTM,r0p05,25,0.2857142857142857,0.030944625407166124,10.2,5
STAConvBiLSTM,r0p05,30,0.3,0.03171953255425709,10.2,5
TCNTransformer,r0p05,10,0.18811881188118812,0.008,5.5,12
TCNTransformer,r0p05,15,0.17105263157894737,0.00843558282208589,5.25,8
TCNTransformer,r0p05,20,0.16666666666666666,0.005555555555555556,6.0,5
TCNTransformer,r0p05,25,0.11904761904761904,0.004071661237785016,3.5999999999999996,5
TCNTransformer,r0p05,30,0.075,0.0008347245409015025,4.0,3
raw,r0p1,10,0.6336633663366337,0.01309090909090909,8.892857142857142,28
raw,r0p1,15,0.5921052631578947,0.012269938650306749,9.0,18
raw,r0p1,20,0.5185185185185185,0.010317460317460317,8.307692307692307,13
raw,r0p1,25,0.5476190476190477,0.007328990228013029,8.7,10
raw,r0p1,30,0.55,0.00667779632721202,9.333333333333334,9
diff,r0p1,10,0.6435643564356436,0.02690909090909091,9.214285714285715,28
diff,r0p1,15,0.6578947368421053,0.023773006134969327,10.333333333333334,18
diff,r0p1,20,0.6666666666666666,0.01984126984126984,10.846153846153847,13
diff,r0p1,25,0.6904761904761905,0.01710097719869707,11.399999999999999,10
diff,r0p1,30,0.7,0.015859766277128547,12.333333333333332,9
diff2,r0p1,10,0.7128712871287128,0.10618181818181818,10.285714285714285,28
diff2,r0p1,15,0.6973684210526315,0.10429447852760736,11.0,18
diff2,r0p1,20,0.6851851851851852,0.10238095238095238,11.076923076923077,13
diff2,r0p1,25,0.6904761904761905,0.10097719869706841,11.399999999999999,10
diff2,r0p1,30,0.7,0.0993322203672788,12.333333333333332,9
union,r0p1,10,0.7821782178217822,0.11345454545454546,10.714285714285715,28
union,r0p1,15,0.7894736842105263,0.11042944785276074,11.666666666666666,18
union,r0p1,20,0.7962962962962963,0.10714285714285714,12.0,13
union,r0p1,25,0.8095238095238095,0.10504885993485343,12.299999999999999,10
union,r0p1,30,0.825,0.10267111853088481,13.333333333333334,9
Time-MoE,r0p1,10,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Time-MoE,r0p1,15,0.3815789473684211,0.006901840490797546,7.153846153846153,13
Time-MoE,r0p1,20,0.3333333333333333,0.0031746031746031746,7.5,8
Time-MoE,r0p1,25,0.30952380952380953,0.0024429967426710096,7.800000000000001,5
Time-MoE,r0p1,30,0.3,0.001669449081803005,9.0,4
Sundial,r0p1,10,0.33663366336633666,0.004363636363636364,7.764705882352942,17
Sundial,r0p1,15,0.3157894736842105,0.0023006134969325155,7.5,10
Sundial,r0p1,20,0.24074074074074073,0.0015873015873015873,8.399999999999999,5
Sundial,r0p1,25,0.21428571428571427,0.0016286644951140066,10.0,3
Sundial,r0p1,30,0.225,0.0008347245409015025,10.0,3
CNNLSTM,r0p1,10,0.039603960396039604,0.0,6.0,3
