mdl,rt,C,recall,FAR,lead_min,n_events_anticipated
union,r0p5,25,0.7857142857142857,0.07003257328990228,11.399999999999999,10
union,r0p5,30,0.8,0.07011686143572621,12.333333333333332,9
Time-MoE,r0p5,10,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Time-MoE,r0p5,15,0.3815789473684211,0.006901840490797546,7.153846153846153,13
Time-MoE,r0p5,20,0.3333333333333333,0.0031746031746031746,7.5,8
Time-MoE,r0p5,25,0.30952380952380953,0.0024429967426710096,7.800000000000001,5
Time-MoE,r0p5,30,0.3,0.001669449081803005,9.0,4
Sundial,r0p5,10,0.33663366336633666,0.004363636363636364,7.764705882352942,17
Sundial,r0p5,15,0.3157894736842105,0.0023006134969325155,7.5,10
Sundial,r0p5,20,0.24074074074074073,0.0015873015873015873,8.399999999999999,5
Sundial,r0p5,25,0.21428571428571427,0.0016286644951140066,10.0,3
Sundial,r0p5,30,0.225,0.0008347245409015025,10.0,3
CNNLSTM,r0p5,10,0.0891089108910891,0.0,4.5,6
CNNLSTM,r0p5,15,0.09210526315789473,0.0,5.25,4
CNNLSTM,r0p5,20,0.1111111111111111,0.0,6.0,3
CNNLSTM,r0p5,25,0.14285714285714285,0.0,6.0,3
CNNLSTM,r0p5,30,0.125,0.0,7.5,2
DiPCALSTM,r0p5,10,0.15841584158415842,0.002909090909090909,6.857142857142857,7
DiPCALSTM,r0p5,15,0.17105263157894737,0.003067484662576687,7.800000000000001,5
DiPCALSTM,r0p5,20,0.2037037037037037,0.0031746031746031746,8.25,4
DiPCALSTM,r0p5,25,0.21428571428571427,0.003257328990228013,9.0,3
DiPCALSTM,r0p5,30,0.225,0.00333889816360601,9.0,3
LSTMGRU,r0p5,10,0.04950495049504951,0.0007272727272727272,5.25,4
LSTMGRU,r0p5,15,0.039473684210526314,0.0007668711656441718,7.5,2
LSTMGRU,r0p5,20,0.05555555555555555,0.0007936507936507937,7.5,2
